Date;Heure;Score;Score max;Essai;;;;;;;;;;;;MOY score;Entendu score;temps jeu;Nombre essai;Temps moyen essai (secondes) 
23/07/2023;00:07:05;77;109;162;;;;;;;;;;;;;;;;
23/07/2023;00:07:07;63;109;163;;;;;;;;;;;;;;;;
23/07/2023;00:07:09;58;109;164;;;;;;;;;;;;;;;;
23/07/2023;00:07:10;64;109;165;;;;;;;;;;;;;;;;
23/07/2023;00:07:12;62;109;166;;;;;;;;;;;;;;;;
23/07/2023;00:07:14;49;109;167;;;;;;;;;;;;;;;;
23/07/2023;00:07:16;74;109;168;;;;;;;;;;;;;;;;
23/07/2023;00:07:17;31;109;169;;;;;;;;;;;;;;;;
23/07/2023;00:07:18;47;109;170;;;;;;;;;;;;;;;;
23/07/2023;00:07:21;75;109;171;;;;;;;;;;;;;;;;
23/07/2023;00:07:23;65;109;172;;;;;;;;;;;;;;;;
23/07/2023;00:07:25;62;109;173;;;;;;;;;;;;;;;;
23/07/2023;00:07:27;73;109;174;;;;;;;;;;;;;;;;
23/07/2023;00:07:30;95;109;175;;;;;;;;;;;;;;;;
23/07/2023;00:07:32;79;109;176;;;;;;;;;;;;;;;;
23/07/2023;00:07:35;79;109;177;;;;;;;;;;;;;;;;
23/07/2023;00:07:37;55;109;178;;;;;;;;;;;;;;;;
23/07/2023;00:07:38;33;109;179;;;;;;;;;;;;;;;;
23/07/2023;00:07:39;32;109;180;;;;;;;;;;;;;;;;
23/07/2023;00:07:40;31;109;181;;;;;;;;;;;;;;;;
23/07/2023;00:07:41;54;109;182;;;;;;;;;;;;;;;;
23/07/2023;00:07:44;74;109;183;;;;;;;;;;;;;;;;
23/07/2023;00:07:46;49;109;184;;;;;;;;;;;;;;;;
23/07/2023;00:07:46;8;109;185;;;;;;;;;;;;;;;;
23/07/2023;00:07:49;103;109;186;;;;;;;;;;;;;;;;
23/07/2023;00:07:51;74;109;187;;;;;;;;;;;;;;;;
23/07/2023;00:07:54;84;109;188;;;;;;;;;;;;;;;;
